"Variable","Label","OR_50","OR_2.5","OR_97.5","Width","WidthPct","PSP"
"(Intercept)","Intercept",0.214768709672636,0.122811785231266,0.375828624893766,0.2530168396625,117.808986256966,1
"CP4","CP4",5.97105880728362,3.86989000808323,9.33543333624266,5.46554332815943,91.5339055360241,1
"EA","EA",1.50563580424622,1.27892728918751,1.77171477157984,0.492787482392331,32.7295273533324,1
"Sex","Sex",6.23044483929793,4.20246708890327,9.25373477953644,5.05126769063318,81.0739493073238,1
"STDep","STDep",1.65646776597276,1.40117047026573,1.96972195470699,0.568551484441255,34.3231239460537,1
"STSlope1","STSlope1",0.132729907614202,0.0958615121817457,0.187224435179045,0.0913629229972992,68.8337124914291,1
"FBS","FBS",2.54163080851265,1.7227545826307,3.73410786108745,2.01135327845675,79.1363274209673,0.9995
"STSlope3","STSlope3",0.333674649360729,0.184465666381415,0.642498512822765,0.45803284644135,137.269297298693,0.987
"Max_HR","Max_HR",0.757305243324271,0.64129102628064,1,0.35870897371936,47.3664981038252,0.9745
"Cholesterol","Cholesterol",1.24171288463717,1,1.46238857676457,0.462388576764567,37.2379623732161,0.9165
"Age_group","Age_group",1.17589189567092,0.893087018856709,1.71400250320716,0.820915484350449,69.8121559790208,0.8365
"Resting_BP","Resting_BP",1.01395026632765,0.945108997422303,1.27968766121874,0.334578663796436,32.9975418822287,0.616
"CP3","CP3",1,0.740934819802776,1.72995001269818,0.989015192895407,98.9015192895407,0.5475
"CP2","CP2",1,0.515716262130474,1.44211895394735,0.926402691816878,92.6402691816878,0.524
"RECG1","RECG1",1,0.585001136066437,1.2859711468792,0.700970010812765,70.0970010812765,0.5185
"RECG2","RECG2",1,0.69975412501187,1.28933877322044,0.589584648208573,58.9584648208573,0.5
